Ps.no,Na-47,Pti,Pmln,Ppp,Ji,Mnk,Tlp
213,"Asif Public Model School Mohalla Chowk Noor Pur Shahan, Islamabad. (Female)",221,83,29,10,1,26
214,"Sultan Model School, Mohalla Chowk Noor Pur Shahan, Islamabad. (Male)",332,150,80,6,33,37
215,"Sultan Model School, Mohalla Chowk Noor Pur Shahan, Islamabad. (Female)",278,113,81,9,20,9
216,Islamabad Model School for Boys (VI-X)  Noor Pur Shahan (Male),381,203,76,7,16,62
217,Islamabad Model School for Boys (VI-X)  Noor Pur Shahan (Female),240,157,60,4,5,14
218,Islamabad Model School For Girls (I-X) Noor Pur Shahan (Male),450,156,48,5,19,39
219,Islamabad Model School For Girls (I-X) Noor Pur Shahan (Female),373,107,45,4,8,25
220,"Islamabad Model School for Boys (VI-X) Noor Pur Shahan, Islamabad.  (Combined)",243,171,25,7,3,38
221,Islamabad Model School for Boys (VI-X)  Noor Pur Shahan  (Combined),281,137,29,3,8,35
222,"Jinnah School and Technical Institute, Muslim Colony, Islamabad. (Male)",280,133,30,14,3,28
223,"Jinnah School and Technical Institute, Muslim Colony, Islamabad. (Female)",156,80,35,4,2,13
224,"Office of the Pakistan Engineering Concial (East) G-5/2, Islamabad. (Male)",202,55,44,12,3,10
225,"Office of the Pakistan Engineering Concial (East) G-5/2, Islamabad. (Female)",135,32,18,5,3,0
226,Islamabad Model School for Girls(I-X) PM STAFF COLONY G-5 Islamabad (Male),207,155,37,10,9,17
227,Islamabad Model School for Girls (I-X) PM STAFF COLONY G-5 Islamabad (Female),159,94,20,6,1,4
228,Islamabad Model School for Girls (I-X) PM STAFF COLONY G-5 Islamabad (Male),221,70,35,16,5,12
229,Islamabad Model School for Girls (I-X) PM STAFF COLONY G-5 Islamabad (Female),137,48,22,6,0,8
230,"Usmania Technical Model School, Muslim Colony, Islamabad. (Male)",357,140,49,21,6,44
231,"Usmania Technical Model School, Muslim Colony, Islamabad. (Female)",274,95,50,16,5,14
232,"Usmania Technical Model School, Muslim Colony, Islamabad. (Male)",265,143,99,16,9,63
233,"Usmania Technical Model School, Muslim Colony, Islamabad. (Female)",152,109,75,10,6,19
234,"Islamabad Model College for Girls, University colony (Male)",180,249,164,34,189,149
235,"Islamabad Model College for Girls, University colony (Female)",125,179,124,26,143,89
236,"Islamabad Model School for Girls (I-V) Maira Malpur, Islamabad. (Combined)",244,65,277,11,298,40
237,"Islamabad Model College for Girls Malpur, Islamabad. (Male)",225,28,411,3,49,35
238,"Islamabad Model College for Girls Malpur, Islamabad. (Female)",206,28,313,4,30,13
239,"Basit Ali Sardar Shaheed Model School for boys (I-VIII) Malpur, Islamabad. (Combine",149,57,221,4,146,0
240,"Islamabad Model School for Boys (I-X) Rawal Dam, Islamabad. (Male)",437,229,20,54,58,17
241,"Islamabad Model School for Boys (I-X) Rawal Dam, Islamabad. (Female)",383,174,14,42,47,5
242,"Islamabad Model College for Girls Margalla Town, Islamabad. (Male)",433,117,18,26,22,14
